Condition1,Condition2,Reaction,MeanFluxCond1,MeanFluxCond2,Log2MeanFluxRatio,P,Padj
naive,wildtype,10FTHF7GLUtl,0.0471692082221668,0.050554308992962066,-0.09998868124993188,1.674591814829338e-47,1.7765602314767444e-47
naive,wildtype,10FTHFtl,-0.0471692082221668,-0.050554308992962066,-0.09998868124993188,1.674591814829435e-47,1.7765602314767444e-47
naive,wildtype,10FTHFtm,467.4272712327268,108.45455653886127,2.107651241383915,0.0,0.0
naive,wildtype,2HBO,-0.053233000327346305,-0.025287307501678728,1.073907449592369,0.0,0.0
naive,wildtype,2HBt2,-0.06208590808588955,-0.031278964582682596,0.9890730943312339,0.0,0.0
naive,wildtype,2HCO3_NAt,-568.0231641190553,-84.17680767411795,2.7544550613917917,0.0,0.0
naive,wildtype,2OXOADPTm,0.05085195230848781,0.008310821763311958,2.6132401221216344,0.0,0.0
naive,wildtype,34DHOXPEGOX,0.04877340488404188,0.005479054181917739,3.154095915284219,0.0,0.0
naive,wildtype,34DHOXPEGt,0.04877340488404188,0.005479054181917739,3.154095915284219,0.0,0.0
naive,wildtype,34DHALDD,0.06264711140570442,0.07433307977372153,-0.24675639321698936,0.0,0.0
naive,wildtype,34DHPLACOX_NADP,-0.06264711140570442,-0.07433307977372153,-0.24675639321698936,0.0,0.0
naive,wildtype,34DHXMANDACOX,203.98537404110482,775.1303578801655,-1.92597324344533,0.0,0.0
naive,wildtype,34DHXMANDACOX_NADP,-203.98537404110482,-775.1303578801655,-1.92597324344533,0.0,0.0
naive,wildtype,3DSPHR,1.1898824991714718,0.5375200296943354,1.146428694323406,0.0,0.0
naive,wildtype,3HAO,0.05085195230848781,0.008310821763311958,2.6132401221216344,0.0,0.0
naive,wildtype,3M4HDXPAC,0.052655006968966765,0.03250941826059284,0.6957129837950431,0.0,0.0
naive,wildtype,3MLDAt,0.051516978998211345,0.003434399883056808,3.9069180611171914,0.0,0.0
naive,wildtype,3MOX4HOXPGALDOX,0.05867401710514123,0.07178666808937416,-0.290994168593809,0.0,0.0
naive,wildtype,3MOX4HOXPGALDOX_NADP,-0.05867401710514123,-0.07178666808937416,-0.290994168593809,0.0,0.0
naive,wildtype,3MOXTYROX,0.052655006968966765,0.03250941826059284,0.6957129837950431,0.0,0.0
naive,wildtype,3SALAASPm,-0.05818656424673777,-0.02503117035636729,1.2169603143193242,0.0,0.0
naive,wildtype,3SALACBOXL_cho,0.046325329540577984,0.013901294401392695,1.7365820151448434,0.0,0.0
naive,wildtype,3SALAOX,0.02429852637044258,0.008299439924846668,1.5497829347824263,0.0,0.0
naive,wildtype,3SALATAi,0.09745556927311326,0.060459887479420354,0.688766339232126,0.0,0.0
naive,wildtype,3SPYRSP,0.09745556927311326,0.060459887479420354,0.688766339232126,0.0,0.0
naive,wildtype,41R2A1H12BOOX,0.04877340488404185,0.005479054181913873,3.154095915285236,0.0,0.0
naive,wildtype,4HOXPACDOX_NADP,-0.029150256857194964,-0.06751578315477143,-1.2117162044245353,0.0,0.0
naive,wildtype,5AOPtm,-1.6674631713426127,-0.8690880539698304,0.9400806374305714,0.0,0.0
naive,wildtype,5HOXINDACTO2OX,0.04000171457766037,0.020403402288928816,0.9712520958099589,0.0,0.0
naive,wildtype,5MTHFt2_1,-452.08713094667206,-251.7616971298637,0.8445420416589989,0.0,0.0
naive,wildtype,7DHFtl,0.045720543154741104,0.05210834460132959,-0.18867188068241614,2.0634223516730118e-47,2.1875953558584105e-47
naive,wildtype,7THFtl,0.057167362541797426,0.01598542759942958,1.838434396257148,0.0,0.0
naive,wildtype,A4GALTc,0.08668142865401844,0.02398415311374445,1.853641433112291,0.0,0.0
naive,wildtype,ABUTt2rL,1.0512946815347983,0.2644973266818688,1.9908420724272786,0.0,0.0
naive,wildtype,ABUTt4_2_r,750.61000834319,308.4698741509168,1.282933927219261,0.0,0.0
naive,wildtype,ACACT10m,322.58445582055145,93.23253226736793,1.7907715645827904,0.0,0.0
naive,wildtype,ACACT1m,280.6849844052004,73.86731432948545,1.9259438569781877,0.0,0.0
naive,wildtype,ACACT5p,0.054519867533629404,0.0,inf,0.0,0.0
naive,wildtype,ACACT8p,0.050392977964102775,0.0,inf,0.0,0.0
naive,wildtype,ACACT9p,0.050392977964102775,0.0,inf,0.0,0.0
