ensgene,gso32.BL6.N.N.4h.1,gso32.BL6.IFNb.N.4h.1,gso32.BL6.N.N.4h.2,gso32.BL6.IFNb.N.4h.2,gso32.BL6.N.N.24h.1,gso32.BL6.IFNb.N.24h.1,gso32.BL6.N.N.24h.2,gso32.BL6.IFNb.N.24h.2
ENSMUSG00000033845,955,460,954,406,629,591,608,553
ENSMUSG00000025903,1163,849,1302,951,1098,1081,1073,1031
ENSMUSG00000033813,786,1291,894,1346,541,717,579,825
ENSMUSG00000033793,2541,2148,2598,1968,1606,1615,1549,1620
ENSMUSG00000025907,992,562,1096,603,1901,1288,1789,1374
ENSMUSG00000033740,106,123,122,137,453,546,474,613
ENSMUSG00000051285,981,1736,1108,1855,1947,1327,1895,1398
ENSMUSG00000061024,767,101,710,92,150,269,154,284
ENSMUSG00000025911,71,52,74,52,51,24,56,21
ENSMUSG00000025912,316,27,341,35,243,76,209,94
ENSMUSG00000045210,1797,6019,2063,6284,3345,4732,3323,5393
ENSMUSG00000025915,2129,3018,2412,3147,1635,2758,1645,3027
ENSMUSG00000098234,288,142,251,132,225,488,195,490
ENSMUSG00000099032,24,21,13,19,14,7,10,4
ENSMUSG00000025917,1885,1327,1832,1345,1108,1748,1184,1906
ENSMUSG00000056763,372,228,385,202,463,345,445,419
ENSMUSG00000067851,2597,2935,2927,3170,2134,2372,2050,2569
ENSMUSG00000025938,19,6,19,2,2,2,5,0
ENSMUSG00000005886,1717,906,1820,990,2165,2102,2277,2179
ENSMUSG00000025935,5953,2791,6514,2938,4846,3378,4721,3435
ENSMUSG00000025937,1717,381,1832,424,962,859,1034,860
ENSMUSG00000025932,339,123,378,200,887,763,1043,864
ENSMUSG00000025925,418,131,442,172,459,224,406,222
ENSMUSG00000043716,4883,3398,4934,3198,5927,3604,5289,3671
ENSMUSG00000025921,409,69,433,60,321,142,368,133
ENSMUSG00000025920,740,381,748,378,389,350,432,335
ENSMUSG00000025939,855,458,875,462,652,704,646,658
ENSMUSG00000079658,1726,1061,1802,986,1062,1159,1159,1105
ENSMUSG00000025940,728,349,845,345,665,618,594,647
ENSMUSG00000025779,262,254,239,281,449,626,426,596
ENSMUSG00000041859,3338,887,3610,1019,1006,547,1335,583
ENSMUSG00000025931,62,26,56,27,93,11,63,15
ENSMUSG00000041809,15,5,8,4,34,16,20,18
ENSMUSG00000041779,502,556,581,628,417,455,409,456
ENSMUSG00000025933,70,21,57,31,86,58,104,68
ENSMUSG00000025934,6,3,7,4,2,3,4,1
ENSMUSG00000026158,1178,3216,1325,3152,1030,1976,1194,2166
ENSMUSG00000026155,688,518,749,502,694,706,607,681
ENSMUSG00000026154,177,120,167,94,243,147,224,129
ENSMUSG00000026153,291,126,269,127,233,118,210,129
ENSMUSG00000026141,0,1,2,1,1,1,4,2
ENSMUSG00000073725,1657,1687,1635,1670,2246,2680,2131,2706
ENSMUSG00000048874,1769,703,1974,701,2272,1720,2437,1835
ENSMUSG00000026064,284,176,331,171,227,212,260,292
ENSMUSG00000026134,694,296,832,338,547,360,597,340
ENSMUSG00000004768,169,45,165,41,145,72,153,60
ENSMUSG00000042215,154,107,159,118,48,26,49,24
ENSMUSG00000042197,860,286,1024,317,593,528,597,580
ENSMUSG00000042182,24,33,21,37,25,28,17,24
ENSMUSG00000026131,85,142,100,146,74,43,78,32
ENSMUSG00000102336,162,45,172,40,247,156,243,154
ENSMUSG00000042111,1387,345,1474,326,829,885,892,851
ENSMUSG00000026127,1759,506,1738,440,1044,894,1075,962
ENSMUSG00000026126,1352,813,1147,776,2212,1548,2061,1533
ENSMUSG00000101223,14,19,15,31,47,25,39,46
ENSMUSG00000037509,77,5,61,13,249,74,230,60
ENSMUSG00000037503,4643,1452,5411,1479,6034,2907,6023,3018
ENSMUSG00000026123,5093,3310,5316,3117,4704,4704,4521,5100
ENSMUSG00000045216,2426,1975,2401,2013,1784,2220,1681,2200
ENSMUSG00000102202,9,5,11,3,30,38,20,46
ENSMUSG00000037470,4446,1589,4715,1765,3900,1542,4123,1559
ENSMUSG00000047180,3717,6292,3834,6886,5488,7563,4532,7886
ENSMUSG00000037447,137,2858,105,3118,533,442,605,446
ENSMUSG00000010453,1066,1593,1193,1532,1046,1448,994,1436
ENSMUSG00000037432,122,19,102,23,187,31,184,37
ENSMUSG00000001143,792,478,825,452,1029,639,1025,656
ENSMUSG00000037408,398,186,469,268,299,328,384,313
ENSMUSG00000001138,634,214,703,180,1166,471,1206,459
ENSMUSG00000079610,90,54,99,48,79,64,64,57
ENSMUSG00000026121,361,516,420,593,178,87,190,123
ENSMUSG00000061518,430,310,328,307,361,298,346,348
ENSMUSG00000037351,1980,1110,2057,1221,1340,1045,1248,952
ENSMUSG00000026116,2990,2798,3061,3129,3327,2750,3627,2863
ENSMUSG00000050122,0,57,1,55,0,5,0,10
ENSMUSG00000026113,420,445,448,401,1660,803,1742,832
ENSMUSG00000026112,3177,7984,3261,8321,2859,7092,2744,8005
ENSMUSG00000026111,1159,1425,1078,1355,1034,1120,1043,1187
ENSMUSG00000026110,1433,2366,1711,2609,566,1603,648,1838
ENSMUSG00000026090,22,0,22,0,8,0,7,0
ENSMUSG00000060771,194,127,222,105,280,316,277,319
ENSMUSG00000037216,52,30,74,26,37,60,33,47
