,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1.0.cell type,characteristics_ch1.1.experiment,characteristics_ch1.2.genotype,characteristics_ch1.3.treatment,characteristics_ch1.4.infection,characteristics_ch1.5.hour post infection,characteristics_ch1.6.mouse identifier,characteristics_ch1.7.sequencing,treatment_protocol_ch1,growth_protocol_ch1,molecule_ch1,extract_protocol_ch1,description,data_processing,platform_id,contact_name,contact_email,contact_laboratory,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,series_id,data_row_count
GSM4955450,gso32.STING.N.N.4h.3,GSM4955450,Public on Mar 29 2021,Dec 03 2020,Mar 29 2021,SRA,1,Bone Marrow Derived Macrophages,Mus musculus,10090,M-CSF differentiated bone marrow derived macrophages,gso32,STING KO,Untreated,Mock infected,4,3,Psomagen,"Conditions had 2 possible interventions, treatment with either recombinant IFNbeta (500 U/mL) or media for four hours, and then infection with either live or heat-killed H37Rv (Mycobacterium tuberculosis strain) (at an MOI 10) or mock-infected for 4 or 24 hours before RNA collection.",Bone marrow was harvested from femurs and bone marrow derived macrophages differentiated in RPMI + 50 ng/mL rM-CSF for 6 days before plating.,total RNA,"Cells were lysed in TRIzol reagent and frozen at -80. TRIzol was thawed and total RNA extracted using Zymo Research Direct-zol extraction kits according to manufacturer's instruction, including an on-column DNase treatment.,For samples with sequencing characteristic ""BGI"": RNA samples were sent to BGI (bgi.com) for library preparation and sequencing. The BGI BV01 library prep was used and then the libraries were sequenced on their DNBSEQ-G400 platform. For samples with sequencing characteristic ""Psomagen"": RNA samples were sent to Psomagen (psomagen.com) for library preparation and sequencing. The Illumina TruSeq stranded kit was used for library prep and then the libraries were sequenced on an Illumina NovaSeq6000 S4.",Title code = experiment.genotype.treatment.infection.infectionTime.mouse,"Perform initial quality assessment using FastQC (https://www.bioinformatics.babraham.ac.uk/projects/fastqc/) version 0.11.9,Read ends consisting of 50 or more of the same nucleotide were removed.,Reads were aligned to the mouse genome using GSNAP version 2018-07-04 (http://research-pub.gene.com/gmap/) called with args: gsnap.avx2 -N 1 -t 23 -D /gmapdb -d mm10ex_MTb -s Mus_musculus.GRCm38.78.splicesites --filter-chastity=either --max-middle-deletions=3 --max-middle-insertions=3 --query-unk-mismatch=1 --format=sam,Feature counts were extracted from gsnap outputs using the featureCounts software (http://bioinf.wehi.edu.au/featureCounts/) part of Subread package v1.5.2,Differential expression of genes was calculated using edgeR (http://bioconductor.org/packages/edgeR/) version 3.26.8,Genome_build: mm10 + H37Rv Mtb,Supplementary_files_format_and_content: a .tsv with rows of raw counts of all genes (identified by MGI name in ""gene"" column and Ensembl stable ID in ""Geneid"" column) detected in at least 2 samples for each sample as columns (sample titles are column headers)",GPL24247,"Aderem,,Lab",alan.diercks@seattlechildrens.org,Aderem Lab,Seattle Children's Research Institute,"307 Westlake Avenue North, Suite 500",Seattle,WA,98109,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16988799,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9627380",NONE,GSE162620,0
GSM4955451,gso32.STING.IFNb.N.4h.3,GSM4955451,Public on Mar 29 2021,Dec 03 2020,Mar 29 2021,SRA,1,Bone Marrow Derived Macrophages,Mus musculus,10090,M-CSF differentiated bone marrow derived macrophages,gso32,STING KO,IFNbeta,Mock infected,4,3,Psomagen,"Conditions had 2 possible interventions, treatment with either recombinant IFNbeta (500 U/mL) or media for four hours, and then infection with either live or heat-killed H37Rv (Mycobacterium tuberculosis strain) (at an MOI 10) or mock-infected for 4 or 24 hours before RNA collection.",Bone marrow was harvested from femurs and bone marrow derived macrophages differentiated in RPMI + 50 ng/mL rM-CSF for 6 days before plating.,total RNA,"Cells were lysed in TRIzol reagent and frozen at -80. TRIzol was thawed and total RNA extracted using Zymo Research Direct-zol extraction kits according to manufacturer's instruction, including an on-column DNase treatment.,For samples with sequencing characteristic ""BGI"": RNA samples were sent to BGI (bgi.com) for library preparation and sequencing. The BGI BV01 library prep was used and then the libraries were sequenced on their DNBSEQ-G400 platform. For samples with sequencing characteristic ""Psomagen"": RNA samples were sent to Psomagen (psomagen.com) for library preparation and sequencing. The Illumina TruSeq stranded kit was used for library prep and then the libraries were sequenced on an Illumina NovaSeq6000 S4.",Title code = experiment.genotype.treatment.infection.infectionTime.mouse,"Perform initial quality assessment using FastQC (https://www.bioinformatics.babraham.ac.uk/projects/fastqc/) version 0.11.9,Read ends consisting of 50 or more of the same nucleotide were removed.,Reads were aligned to the mouse genome using GSNAP version 2018-07-04 (http://research-pub.gene.com/gmap/) called with args: gsnap.avx2 -N 1 -t 23 -D /gmapdb -d mm10ex_MTb -s Mus_musculus.GRCm38.78.splicesites --filter-chastity=either --max-middle-deletions=3 --max-middle-insertions=3 --query-unk-mismatch=1 --format=sam,Feature counts were extracted from gsnap outputs using the featureCounts software (http://bioinf.wehi.edu.au/featureCounts/) part of Subread package v1.5.2,Differential expression of genes was calculated using edgeR (http://bioconductor.org/packages/edgeR/) version 3.26.8,Genome_build: mm10 + H37Rv Mtb,Supplementary_files_format_and_content: a .tsv with rows of raw counts of all genes (identified by MGI name in ""gene"" column and Ensembl stable ID in ""Geneid"" column) detected in at least 2 samples for each sample as columns (sample titles are column headers)",GPL24247,"Aderem,,Lab",alan.diercks@seattlechildrens.org,Aderem Lab,Seattle Children's Research Institute,"307 Westlake Avenue North, Suite 500",Seattle,WA,98109,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16988798,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9627381",NONE,GSE162620,0
GSM4955452,gso32.STING.N.Rv.4h.3,GSM4955452,Public on Mar 29 2021,Dec 03 2020,Mar 29 2021,SRA,1,Bone Marrow Derived Macrophages,Mus musculus,10090,M-CSF differentiated bone marrow derived macrophages,gso32,STING KO,Untreated,Live H37Rv,4,3,Psomagen,"Conditions had 2 possible interventions, treatment with either recombinant IFNbeta (500 U/mL) or media for four hours, and then infection with either live or heat-killed H37Rv (Mycobacterium tuberculosis strain) (at an MOI 10) or mock-infected for 4 or 24 hours before RNA collection.",Bone marrow was harvested from femurs and bone marrow derived macrophages differentiated in RPMI + 50 ng/mL rM-CSF for 6 days before plating.,total RNA,"Cells were lysed in TRIzol reagent and frozen at -80. TRIzol was thawed and total RNA extracted using Zymo Research Direct-zol extraction kits according to manufacturer's instruction, including an on-column DNase treatment.,For samples with sequencing characteristic ""BGI"": RNA samples were sent to BGI (bgi.com) for library preparation and sequencing. The BGI BV01 library prep was used and then the libraries were sequenced on their DNBSEQ-G400 platform. For samples with sequencing characteristic ""Psomagen"": RNA samples were sent to Psomagen (psomagen.com) for library preparation and sequencing. The Illumina TruSeq stranded kit was used for library prep and then the libraries were sequenced on an Illumina NovaSeq6000 S4.",Title code = experiment.genotype.treatment.infection.infectionTime.mouse,"Perform initial quality assessment using FastQC (https://www.bioinformatics.babraham.ac.uk/projects/fastqc/) version 0.11.9,Read ends consisting of 50 or more of the same nucleotide were removed.,Reads were aligned to the mouse genome using GSNAP version 2018-07-04 (http://research-pub.gene.com/gmap/) called with args: gsnap.avx2 -N 1 -t 23 -D /gmapdb -d mm10ex_MTb -s Mus_musculus.GRCm38.78.splicesites --filter-chastity=either --max-middle-deletions=3 --max-middle-insertions=3 --query-unk-mismatch=1 --format=sam,Feature counts were extracted from gsnap outputs using the featureCounts software (http://bioinf.wehi.edu.au/featureCounts/) part of Subread package v1.5.2,Differential expression of genes was calculated using edgeR (http://bioconductor.org/packages/edgeR/) version 3.26.8,Genome_build: mm10 + H37Rv Mtb,Supplementary_files_format_and_content: a .tsv with rows of raw counts of all genes (identified by MGI name in ""gene"" column and Ensembl stable ID in ""Geneid"" column) detected in at least 2 samples for each sample as columns (sample titles are column headers)",GPL24247,"Aderem,,Lab",alan.diercks@seattlechildrens.org,Aderem Lab,Seattle Children's Research Institute,"307 Westlake Avenue North, Suite 500",Seattle,WA,98109,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16988797,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9627382",NONE,GSE162620,0
GSM4955453,gso32.STING.IFNb.Rv.4h.3,GSM4955453,Public on Mar 29 2021,Dec 03 2020,Mar 29 2021,SRA,1,Bone Marrow Derived Macrophages,Mus musculus,10090,M-CSF differentiated bone marrow derived macrophages,gso32,STING KO,IFNbeta,Live H37Rv,4,3,Psomagen,"Conditions had 2 possible interventions, treatment with either recombinant IFNbeta (500 U/mL) or media for four hours, and then infection with either live or heat-killed H37Rv (Mycobacterium tuberculosis strain) (at an MOI 10) or mock-infected for 4 or 24 hours before RNA collection.",Bone marrow was harvested from femurs and bone marrow derived macrophages differentiated in RPMI + 50 ng/mL rM-CSF for 6 days before plating.,total RNA,"Cells were lysed in TRIzol reagent and frozen at -80. TRIzol was thawed and total RNA extracted using Zymo Research Direct-zol extraction kits according to manufacturer's instruction, including an on-column DNase treatment.,For samples with sequencing characteristic ""BGI"": RNA samples were sent to BGI (bgi.com) for library preparation and sequencing. The BGI BV01 library prep was used and then the libraries were sequenced on their DNBSEQ-G400 platform. For samples with sequencing characteristic ""Psomagen"": RNA samples were sent to Psomagen (psomagen.com) for library preparation and sequencing. The Illumina TruSeq stranded kit was used for library prep and then the libraries were sequenced on an Illumina NovaSeq6000 S4.",Title code = experiment.genotype.treatment.infection.infectionTime.mouse,"Perform initial quality assessment using FastQC (https://www.bioinformatics.babraham.ac.uk/projects/fastqc/) version 0.11.9,Read ends consisting of 50 or more of the same nucleotide were removed.,Reads were aligned to the mouse genome using GSNAP version 2018-07-04 (http://research-pub.gene.com/gmap/) called with args: gsnap.avx2 -N 1 -t 23 -D /gmapdb -d mm10ex_MTb -s Mus_musculus.GRCm38.78.splicesites --filter-chastity=either --max-middle-deletions=3 --max-middle-insertions=3 --query-unk-mismatch=1 --format=sam,Feature counts were extracted from gsnap outputs using the featureCounts software (http://bioinf.wehi.edu.au/featureCounts/) part of Subread package v1.5.2,Differential expression of genes was calculated using edgeR (http://bioconductor.org/packages/edgeR/) version 3.26.8,Genome_build: mm10 + H37Rv Mtb,Supplementary_files_format_and_content: a .tsv with rows of raw counts of all genes (identified by MGI name in ""gene"" column and Ensembl stable ID in ""Geneid"" column) detected in at least 2 samples for each sample as columns (sample titles are column headers)",GPL24247,"Aderem,,Lab",alan.diercks@seattlechildrens.org,Aderem Lab,Seattle Children's Research Institute,"307 Westlake Avenue North, Suite 500",Seattle,WA,98109,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16988796,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9627383",NONE,GSE162620,0
GSM4955454,gso32.STING.N.HK.4h.3,GSM4955454,Public on Mar 29 2021,Dec 03 2020,Mar 29 2021,SRA,1,Bone Marrow Derived Macrophages,Mus musculus,10090,M-CSF differentiated bone marrow derived macrophages,gso32,STING KO,Untreated,Heat killed H37Rv,4,3,Psomagen,"Conditions had 2 possible interventions, treatment with either recombinant IFNbeta (500 U/mL) or media for four hours, and then infection with either live or heat-killed H37Rv (Mycobacterium tuberculosis strain) (at an MOI 10) or mock-infected for 4 or 24 hours before RNA collection.",Bone marrow was harvested from femurs and bone marrow derived macrophages differentiated in RPMI + 50 ng/mL rM-CSF for 6 days before plating.,total RNA,"Cells were lysed in TRIzol reagent and frozen at -80. TRIzol was thawed and total RNA extracted using Zymo Research Direct-zol extraction kits according to manufacturer's instruction, including an on-column DNase treatment.,For samples with sequencing characteristic ""BGI"": RNA samples were sent to BGI (bgi.com) for library preparation and sequencing. The BGI BV01 library prep was used and then the libraries were sequenced on their DNBSEQ-G400 platform. For samples with sequencing characteristic ""Psomagen"": RNA samples were sent to Psomagen (psomagen.com) for library preparation and sequencing. The Illumina TruSeq stranded kit was used for library prep and then the libraries were sequenced on an Illumina NovaSeq6000 S4.",Title code = experiment.genotype.treatment.infection.infectionTime.mouse,"Perform initial quality assessment using FastQC (https://www.bioinformatics.babraham.ac.uk/projects/fastqc/) version 0.11.9,Read ends consisting of 50 or more of the same nucleotide were removed.,Reads were aligned to the mouse genome using GSNAP version 2018-07-04 (http://research-pub.gene.com/gmap/) called with args: gsnap.avx2 -N 1 -t 23 -D /gmapdb -d mm10ex_MTb -s Mus_musculus.GRCm38.78.splicesites --filter-chastity=either --max-middle-deletions=3 --max-middle-insertions=3 --query-unk-mismatch=1 --format=sam,Feature counts were extracted from gsnap outputs using the featureCounts software (http://bioinf.wehi.edu.au/featureCounts/) part of Subread package v1.5.2,Differential expression of genes was calculated using edgeR (http://bioconductor.org/packages/edgeR/) version 3.26.8,Genome_build: mm10 + H37Rv Mtb,Supplementary_files_format_and_content: a .tsv with rows of raw counts of all genes (identified by MGI name in ""gene"" column and Ensembl stable ID in ""Geneid"" column) detected in at least 2 samples for each sample as columns (sample titles are column headers)",GPL24247,"Aderem,,Lab",alan.diercks@seattlechildrens.org,Aderem Lab,Seattle Children's Research Institute,"307 Westlake Avenue North, Suite 500",Seattle,WA,98109,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16988795,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9627384",NONE,GSE162620,0
GSM4955455,gso32.STING.IFNb.HK.4h.3,GSM4955455,Public on Mar 29 2021,Dec 03 2020,Mar 29 2021,SRA,1,Bone Marrow Derived Macrophages,Mus musculus,10090,M-CSF differentiated bone marrow derived macrophages,gso32,STING KO,IFNbeta,Heat killed H37Rv,4,3,Psomagen,"Conditions had 2 possible interventions, treatment with either recombinant IFNbeta (500 U/mL) or media for four hours, and then infection with either live or heat-killed H37Rv (Mycobacterium tuberculosis strain) (at an MOI 10) or mock-infected for 4 or 24 hours before RNA collection.",Bone marrow was harvested from femurs and bone marrow derived macrophages differentiated in RPMI + 50 ng/mL rM-CSF for 6 days before plating.,total RNA,"Cells were lysed in TRIzol reagent and frozen at -80. TRIzol was thawed and total RNA extracted using Zymo Research Direct-zol extraction kits according to manufacturer's instruction, including an on-column DNase treatment.,For samples with sequencing characteristic ""BGI"": RNA samples were sent to BGI (bgi.com) for library preparation and sequencing. The BGI BV01 library prep was used and then the libraries were sequenced on their DNBSEQ-G400 platform. For samples with sequencing characteristic ""Psomagen"": RNA samples were sent to Psomagen (psomagen.com) for library preparation and sequencing. The Illumina TruSeq stranded kit was used for library prep and then the libraries were sequenced on an Illumina NovaSeq6000 S4.",Title code = experiment.genotype.treatment.infection.infectionTime.mouse,"Perform initial quality assessment using FastQC (https://www.bioinformatics.babraham.ac.uk/projects/fastqc/) version 0.11.9,Read ends consisting of 50 or more of the same nucleotide were removed.,Reads were aligned to the mouse genome using GSNAP version 2018-07-04 (http://research-pub.gene.com/gmap/) called with args: gsnap.avx2 -N 1 -t 23 -D /gmapdb -d mm10ex_MTb -s Mus_musculus.GRCm38.78.splicesites --filter-chastity=either --max-middle-deletions=3 --max-middle-insertions=3 --query-unk-mismatch=1 --format=sam,Feature counts were extracted from gsnap outputs using the featureCounts software (http://bioinf.wehi.edu.au/featureCounts/) part of Subread package v1.5.2,Differential expression of genes was calculated using edgeR (http://bioconductor.org/packages/edgeR/) version 3.26.8,Genome_build: mm10 + H37Rv Mtb,Supplementary_files_format_and_content: a .tsv with rows of raw counts of all genes (identified by MGI name in ""gene"" column and Ensembl stable ID in ""Geneid"" column) detected in at least 2 samples for each sample as columns (sample titles are column headers)",GPL24247,"Aderem,,Lab",alan.diercks@seattlechildrens.org,Aderem Lab,Seattle Children's Research Institute,"307 Westlake Avenue North, Suite 500",Seattle,WA,98109,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16988794,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9627385",NONE,GSE162620,0
GSM4955456,gso32.STING.N.N.4h.4,GSM4955456,Public on Mar 29 2021,Dec 03 2020,Mar 29 2021,SRA,1,Bone Marrow Derived Macrophages,Mus musculus,10090,M-CSF differentiated bone marrow derived macrophages,gso32,STING KO,Untreated,Mock infected,4,4,Psomagen,"Conditions had 2 possible interventions, treatment with either recombinant IFNbeta (500 U/mL) or media for four hours, and then infection with either live or heat-killed H37Rv (Mycobacterium tuberculosis strain) (at an MOI 10) or mock-infected for 4 or 24 hours before RNA collection.",Bone marrow was harvested from femurs and bone marrow derived macrophages differentiated in RPMI + 50 ng/mL rM-CSF for 6 days before plating.,total RNA,"Cells were lysed in TRIzol reagent and frozen at -80. TRIzol was thawed and total RNA extracted using Zymo Research Direct-zol extraction kits according to manufacturer's instruction, including an on-column DNase treatment.,For samples with sequencing characteristic ""BGI"": RNA samples were sent to BGI (bgi.com) for library preparation and sequencing. The BGI BV01 library prep was used and then the libraries were sequenced on their DNBSEQ-G400 platform. For samples with sequencing characteristic ""Psomagen"": RNA samples were sent to Psomagen (psomagen.com) for library preparation and sequencing. The Illumina TruSeq stranded kit was used for library prep and then the libraries were sequenced on an Illumina NovaSeq6000 S4.",Title code = experiment.genotype.treatment.infection.infectionTime.mouse,"Perform initial quality assessment using FastQC (https://www.bioinformatics.babraham.ac.uk/projects/fastqc/) version 0.11.9,Read ends consisting of 50 or more of the same nucleotide were removed.,Reads were aligned to the mouse genome using GSNAP version 2018-07-04 (http://research-pub.gene.com/gmap/) called with args: gsnap.avx2 -N 1 -t 23 -D /gmapdb -d mm10ex_MTb -s Mus_musculus.GRCm38.78.splicesites --filter-chastity=either --max-middle-deletions=3 --max-middle-insertions=3 --query-unk-mismatch=1 --format=sam,Feature counts were extracted from gsnap outputs using the featureCounts software (http://bioinf.wehi.edu.au/featureCounts/) part of Subread package v1.5.2,Differential expression of genes was calculated using edgeR (http://bioconductor.org/packages/edgeR/) version 3.26.8,Genome_build: mm10 + H37Rv Mtb,Supplementary_files_format_and_content: a .tsv with rows of raw counts of all genes (identified by MGI name in ""gene"" column and Ensembl stable ID in ""Geneid"" column) detected in at least 2 samples for each sample as columns (sample titles are column headers)",GPL24247,"Aderem,,Lab",alan.diercks@seattlechildrens.org,Aderem Lab,Seattle Children's Research Institute,"307 Westlake Avenue North, Suite 500",Seattle,WA,98109,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16988793,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9627386",NONE,GSE162620,0
GSM4955457,gso32.STING.IFNb.N.4h.4,GSM4955457,Public on Mar 29 2021,Dec 03 2020,Mar 29 2021,SRA,1,Bone Marrow Derived Macrophages,Mus musculus,10090,M-CSF differentiated bone marrow derived macrophages,gso32,STING KO,IFNbeta,Mock infected,4,4,Psomagen,"Conditions had 2 possible interventions, treatment with either recombinant IFNbeta (500 U/mL) or media for four hours, and then infection with either live or heat-killed H37Rv (Mycobacterium tuberculosis strain) (at an MOI 10) or mock-infected for 4 or 24 hours before RNA collection.",Bone marrow was harvested from femurs and bone marrow derived macrophages differentiated in RPMI + 50 ng/mL rM-CSF for 6 days before plating.,total RNA,"Cells were lysed in TRIzol reagent and frozen at -80. TRIzol was thawed and total RNA extracted using Zymo Research Direct-zol extraction kits according to manufacturer's instruction, including an on-column DNase treatment.,For samples with sequencing characteristic ""BGI"": RNA samples were sent to BGI (bgi.com) for library preparation and sequencing. The BGI BV01 library prep was used and then the libraries were sequenced on their DNBSEQ-G400 platform. For samples with sequencing characteristic ""Psomagen"": RNA samples were sent to Psomagen (psomagen.com) for library preparation and sequencing. The Illumina TruSeq stranded kit was used for library prep and then the libraries were sequenced on an Illumina NovaSeq6000 S4.",Title code = experiment.genotype.treatment.infection.infectionTime.mouse,"Perform initial quality assessment using FastQC (https://www.bioinformatics.babraham.ac.uk/projects/fastqc/) version 0.11.9,Read ends consisting of 50 or more of the same nucleotide were removed.,Reads were aligned to the mouse genome using GSNAP version 2018-07-04 (http://research-pub.gene.com/gmap/) called with args: gsnap.avx2 -N 1 -t 23 -D /gmapdb -d mm10ex_MTb -s Mus_musculus.GRCm38.78.splicesites --filter-chastity=either --max-middle-deletions=3 --max-middle-insertions=3 --query-unk-mismatch=1 --format=sam,Feature counts were extracted from gsnap outputs using the featureCounts software (http://bioinf.wehi.edu.au/featureCounts/) part of Subread package v1.5.2,Differential expression of genes was calculated using edgeR (http://bioconductor.org/packages/edgeR/) version 3.26.8,Genome_build: mm10 + H37Rv Mtb,Supplementary_files_format_and_content: a .tsv with rows of raw counts of all genes (identified by MGI name in ""gene"" column and Ensembl stable ID in ""Geneid"" column) detected in at least 2 samples for each sample as columns (sample titles are column headers)",GPL24247,"Aderem,,Lab",alan.diercks@seattlechildrens.org,Aderem Lab,Seattle Children's Research Institute,"307 Westlake Avenue North, Suite 500",Seattle,WA,98109,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16988792,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9627387",NONE,GSE162620,0
GSM4955458,gso32.STING.N.Rv.4h.4,GSM4955458,Public on Mar 29 2021,Dec 03 2020,Mar 29 2021,SRA,1,Bone Marrow Derived Macrophages,Mus musculus,10090,M-CSF differentiated bone marrow derived macrophages,gso32,STING KO,Untreated,Live H37Rv,4,4,Psomagen,"Conditions had 2 possible interventions, treatment with either recombinant IFNbeta (500 U/mL) or media for four hours, and then infection with either live or heat-killed H37Rv (Mycobacterium tuberculosis strain) (at an MOI 10) or mock-infected for 4 or 24 hours before RNA collection.",Bone marrow was harvested from femurs and bone marrow derived macrophages differentiated in RPMI + 50 ng/mL rM-CSF for 6 days before plating.,total RNA,"Cells were lysed in TRIzol reagent and frozen at -80. TRIzol was thawed and total RNA extracted using Zymo Research Direct-zol extraction kits according to manufacturer's instruction, including an on-column DNase treatment.,For samples with sequencing characteristic ""BGI"": RNA samples were sent to BGI (bgi.com) for library preparation and sequencing. The BGI BV01 library prep was used and then the libraries were sequenced on their DNBSEQ-G400 platform. For samples with sequencing characteristic ""Psomagen"": RNA samples were sent to Psomagen (psomagen.com) for library preparation and sequencing. The Illumina TruSeq stranded kit was used for library prep and then the libraries were sequenced on an Illumina NovaSeq6000 S4.",Title code = experiment.genotype.treatment.infection.infectionTime.mouse,"Perform initial quality assessment using FastQC (https://www.bioinformatics.babraham.ac.uk/projects/fastqc/) version 0.11.9,Read ends consisting of 50 or more of the same nucleotide were removed.,Reads were aligned to the mouse genome using GSNAP version 2018-07-04 (http://research-pub.gene.com/gmap/) called with args: gsnap.avx2 -N 1 -t 23 -D /gmapdb -d mm10ex_MTb -s Mus_musculus.GRCm38.78.splicesites --filter-chastity=either --max-middle-deletions=3 --max-middle-insertions=3 --query-unk-mismatch=1 --format=sam,Feature counts were extracted from gsnap outputs using the featureCounts software (http://bioinf.wehi.edu.au/featureCounts/) part of Subread package v1.5.2,Differential expression of genes was calculated using edgeR (http://bioconductor.org/packages/edgeR/) version 3.26.8,Genome_build: mm10 + H37Rv Mtb,Supplementary_files_format_and_content: a .tsv with rows of raw counts of all genes (identified by MGI name in ""gene"" column and Ensembl stable ID in ""Geneid"" column) detected in at least 2 samples for each sample as columns (sample titles are column headers)",GPL24247,"Aderem,,Lab",alan.diercks@seattlechildrens.org,Aderem Lab,Seattle Children's Research Institute,"307 Westlake Avenue North, Suite 500",Seattle,WA,98109,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16988791,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9627388",NONE,GSE162620,0
GSM4955459,gso32.STING.IFNb.Rv.4h.4,GSM4955459,Public on Mar 29 2021,Dec 03 2020,Mar 29 2021,SRA,1,Bone Marrow Derived Macrophages,Mus musculus,10090,M-CSF differentiated bone marrow derived macrophages,gso32,STING KO,IFNbeta,Live H37Rv,4,4,Psomagen,"Conditions had 2 possible interventions, treatment with either recombinant IFNbeta (500 U/mL) or media for four hours, and then infection with either live or heat-killed H37Rv (Mycobacterium tuberculosis strain) (at an MOI 10) or mock-infected for 4 or 24 hours before RNA collection.",Bone marrow was harvested from femurs and bone marrow derived macrophages differentiated in RPMI + 50 ng/mL rM-CSF for 6 days before plating.,total RNA,"Cells were lysed in TRIzol reagent and frozen at -80. TRIzol was thawed and total RNA extracted using Zymo Research Direct-zol extraction kits according to manufacturer's instruction, including an on-column DNase treatment.,For samples with sequencing characteristic ""BGI"": RNA samples were sent to BGI (bgi.com) for library preparation and sequencing. The BGI BV01 library prep was used and then the libraries were sequenced on their DNBSEQ-G400 platform. For samples with sequencing characteristic ""Psomagen"": RNA samples were sent to Psomagen (psomagen.com) for library preparation and sequencing. The Illumina TruSeq stranded kit was used for library prep and then the libraries were sequenced on an Illumina NovaSeq6000 S4.",Title code = experiment.genotype.treatment.infection.infectionTime.mouse,"Perform initial quality assessment using FastQC (https://www.bioinformatics.babraham.ac.uk/projects/fastqc/) version 0.11.9,Read ends consisting of 50 or more of the same nucleotide were removed.,Reads were aligned to the mouse genome using GSNAP version 2018-07-04 (http://research-pub.gene.com/gmap/) called with args: gsnap.avx2 -N 1 -t 23 -D /gmapdb -d mm10ex_MTb -s Mus_musculus.GRCm38.78.splicesites --filter-chastity=either --max-middle-deletions=3 --max-middle-insertions=3 --query-unk-mismatch=1 --format=sam,Feature counts were extracted from gsnap outputs using the featureCounts software (http://bioinf.wehi.edu.au/featureCounts/) part of Subread package v1.5.2,Differential expression of genes was calculated using edgeR (http://bioconductor.org/packages/edgeR/) version 3.26.8,Genome_build: mm10 + H37Rv Mtb,Supplementary_files_format_and_content: a .tsv with rows of raw counts of all genes (identified by MGI name in ""gene"" column and Ensembl stable ID in ""Geneid"" column) detected in at least 2 samples for each sample as columns (sample titles are column headers)",GPL24247,"Aderem,,Lab",alan.diercks@seattlechildrens.org,Aderem Lab,Seattle Children's Research Institute,"307 Westlake Avenue North, Suite 500",Seattle,WA,98109,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16988790,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9627389",NONE,GSE162620,0
